0,92,67
1,91,68
2,87,71
3,87,71
4,93,66
5,88,71
6,93,67
7,93,66
8,93,66
9,92,67
10,91,64
11,92,65
12,92,65
13,89,67
14,89,66
15,92,61
16,94,61
17,95,62
18,94,61
19,95,59
20,95,59
21,95,58
22,95,56
23,97,56
24,98,56
25,98,56
26,100,55
27,99,54
28,100,54
29,100,53
30,100,53
31,97,54
32,97,54
33,98,53
34,98,54
35,102,54
36,102,54
37,99,54
38,99,54
39,100,54
40,97,56
41,98,54
42,96,55
43,92,55
44,88,60
45,85,59
46,84,61
47,79,61
48,77,62
49,69,67
50,66,69
51,62,71
52,58,73
53,64,72
54,55,68
55,54,69
56,48,73
57,49,73
58,51,73
59,52,73
60,54,73
61,55,73
62,56,73
63,56,73
64,56,73
65,56,73
66,56,73
67,66,70
68,69,71
69,57,73
70,59,73
71,65,66
72,69,65
73,63,66
74,70,62
75,69,57
76,71,56
77,73,54
78,76,52
79,79,52
80,81,51
81,84,49
82,87,48
83,91,46
84,95,46
85,96,47
86,100,46
87,104,47
88,106,46
89,109,47
90,110,48
91,112,48
92,117,48
93,117,47
94,115,47
95,115,47
96,115,48
97,114,48
98,113,49
99,114,49
100,112,51
101,111,52
102,107,53
103,103,54
104,96,55
105,97,53
106,94,54
107,92,54
108,89,53
109,86,51
110,84,51
111,83,51
112,81,49
113,81,50
114,80,50
115,80,48
116,79,48
117,79,48
118,78,48
119,77,48
120,78,48
121,77,49
122,78,49
123,78,49
124,78,49
125,78,49
126,77,50
127,77,49
128,77,49
129,77,49
130,76,49
131,76,49
132,76,48
133,76,49
134,76,49
135,77,49
136,77,49
137,75,51
138,77,47
139,76,51
140,80,48
141,80,48
142,81,49
143,80,50
144,83,49
145,81,50
146,85,49
147,85,49
148,85,49
149,82,50
150,85,49
151,85,49
152,84,48
153,85,49
154,84,48
155,84,48
156,84,48
157,85,49
158,85,49
159,84,48
160,85,49
161,82,52
162,82,53
163,82,54
164,84,52
165,85,52
166,86,53
167,86,54
168,83,56
169,87,56
170,87,55
171,87,59
172,87,58
173,85,62
174,85,63
175,89,61
176,88,61
177,86,64
178,86,64
179,90,61
180,90,61
181,90,60
182,92,59
183,93,59
184,93,60
185,91,63
186,97,61
187,93,65
188,95,66
189,97,67
190,106,66
191,102,71
192,110,71
193,111,71
194,107,75
195,109,76
196,111,78
197,113,79
198,115,81
199,117,82
200,119,83
201,120,84
202,122,84
203,123,83
204,124,82
205,126,80
206,127,77
207,128,75
208,127,72
209,125,70
210,122,67
211,117,64
212,112,62
213,109,57
214,104,55
215,98,56
216,90,53
217,84,53
218,79,53
219,73,53
220,70,52
221,69,54
222,66,54
223,64,55
224,61,56
225,61,55
226,61,57
227,63,56
228,64,57
229,67,60
230,70,64
231,74,64
232,78,65
233,79,69
234,82,70
235,85,70
236,87,71
237,90,71
238,92,71
239,98,68
240,94,71
241,95,71
242,96,70
243,97,70
244,97,70
245,103,64
246,101,66
247,102,65
248,99,62
249,98,61
250,96,62
251,94,62
252,93,61
253,92,61
254,91,59
255,89,58
256,88,58
